model,dataset,fold,Hit Rate,nDCG,MRR
GHC2F_Topic,Rotten Tomatoes,4,0.5354270394484871,0.3795795307852394,0.34982000165410243
GHC2F_Topic,Amazon,0,0.24766637742893954,0.14000784250967152,0.12640217851923047
GHC2F_Topic,Amazon,1,0.2525702716205201,0.14652570669824155,0.13320122690293637
GHC2F_Topic,Amazon,2,0.2701217427887776,0.1582314322655935,0.14220714779900237
GHC2F_Topic,Amazon,3,0.27067392390418343,0.15948509462046917,0.14409712240756192
GHC2F_Topic,Amazon,4,0.26413978070521416,0.15864426218752709,0.14440844847151652
GHCF_Topic,Amazon,0,0.258197260129894,0.15084655247439868,0.13544250763706994
GHCF_Topic,Amazon,1,0.27419736530724936,0.16356259476683907,0.14778867710952764
GHCF_Topic,Amazon,2,0.27609055770292656,0.16541892822632667,0.1480554157565469
GHCF_Topic,Amazon,3,0.2773789803055402,0.16802140671691085,0.1516245406338163
GHCF_Topic,Amazon,4,0.2691488522521101,0.16262902747897087,0.14635343650668103
GHCF_Topic,IMDb,0,0.21623512946116166,0.11642525015531296,0.10974536101588894
GHCF_Topic,IMDb,1,0.22813156053184044,0.12030650664899509,0.11230166894355419
GHCF_Topic,IMDb,2,0.21007697690692792,0.11154843213720143,0.10463362906625129
GHCF_Topic,IMDb,3,0.22869139258222534,0.12618260353339358,0.11664944654450111
GHCF_Topic,IMDb,4,0.21021693491952415,0.11239467013319852,0.10599512555905867
GHCF_Topic,Rotten Tomatoes,0,0.6189199540405975,0.40576820627133986,0.3558396428056583
GHCF_Topic,Rotten Tomatoes,1,0.6047491382612026,0.3964718949656344,0.34885300193638374
GHCF_Topic,Rotten Tomatoes,2,0.6568364611260054,0.43423761220796003,0.38097222758097016
GHCF_Topic,Rotten Tomatoes,3,0.6468785905783225,0.43420230067071736,0.3830828552462418
GHCF_Topic,Rotten Tomatoes,4,0.6484105706625813,0.4433763131788303,0.3956761619800323
GHC2F_Text,Amazon,0,0.163800583734322,0.09171460268273342,0.09175869851035434
GHC2F_Text,Amazon,1,0.1695196024295969,0.09708690062541848,0.09651439344279046
GHC2F_Text,Amazon,2,0.17537009281901605,0.09918651344514366,0.09797114947538725
GHC2F_Text,Amazon,3,0.18633483211064658,0.10540473984580699,0.10255221152147433
GHC2F_Text,Amazon,4,0.17579080224027765,0.10051173685561751,0.09941810029680344
GHC2F_Text,IMDb,0,0.11238628411476558,0.06314933604410011,0.07046389077249596
GHC2F_Text,IMDb,1,0.12386284114765571,0.06764078837929337,0.07242766484232718
GHC2F_Text,IMDb,2,0.13365990202939118,0.07170570924330796,0.07559098283195059
GHC2F_Text,IMDb,3,0.12960111966410076,0.06917754913741352,0.07337680104760597
GHC2F_Text,IMDb,4,0.12624212736179147,0.06782001406357803,0.07295638726487269
GHC2F_Text,Rotten Tomatoes,0,0.24511681348142475,0.1318347412966827,0.11996311758003389
GHC2F_Text,Rotten Tomatoes,1,0.26579854461891994,0.14783570526061543,0.13542983149928153
GHC2F_Text,Rotten Tomatoes,2,0.24932975871313673,0.13123404765923327,0.11848976174380343
GHC2F_Text,Rotten Tomatoes,3,0.2707774798927614,0.15195394831105716,0.13926394597511718
GHC2F_Text,Rotten Tomatoes,4,0.2757564151666028,0.15988061090421157,0.14637601876910425
GHCF_Text,IMDb,0,0.17662701189643107,0.09536188890372953,0.09415216814132672
GHCF_Text,IMDb,1,0.1636109167249825,0.08860248716553534,0.08915464861829764
GHCF_Text,IMDb,2,0.16668999300209936,0.08775772812304367,0.0883576381304991
GHCF_Text,IMDb,3,0.14079776067179847,0.0765625032194765,0.07932862369935909
GHCF_Text,IMDb,4,0.15283414975507348,0.08111200049887352,0.08226334052922774
GHCF_Text,Rotten Tomatoes,0,0.35924932975871315,0.18978609458612183,0.1608158376799183
GHCF_Text,Rotten Tomatoes,1,0.3397165836844121,0.1827097176626406,0.15994951334164523
GHCF_Text,Rotten Tomatoes,2,0.36193029490616624,0.1911958488904123,0.16400028699581812
GHCF_Text,Rotten Tomatoes,3,0.3542703944848717,0.19003909581435297,0.16485555838087224
GHCF_Text,Rotten Tomatoes,4,0.35503638452700115,0.19862275738456947,0.17343483048916528
GHCF_Text,Amazon,0,0.24185532854776368,0.1405872136343766,0.12724441164582168
GHCF_Text,Amazon,1,0.2623912071730956,0.15524341946242368,0.14035850466963692
GHCF_Text,Amazon,2,0.26607241460913467,0.15887620108564432,0.14216023397173694
GHCF_Text,Amazon,3,0.26424495806052956,0.16001897120737307,0.1448506227050061
GHCF_Text,Amazon,4,0.2596960374431385,0.15978171647191045,0.14535547823745482
